a52dec 0.7.4-12
aalib 1.4rc5-15
abseil-cpp 20220623.1-1
accounts-qml-module 0.7-4
accountsservice 22.08.8-2
acl 2.3.1-2
acpid 2.0.34-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-cursors 43-2
adwaita-icon-theme 43-2
alacritty 0.11.0-2
alsa-card-profiles 1:0.3.65-6
alsa-lib 1.2.8-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.8-1
alsa-utils 1.2.8-1
amd-ucode 20230117.7e4f0ed-1
android-platform 33_r02-1
android-sdk 26.1.1-2
android-sdk-build-tools r33.0.1-2
android-sdk-cmdline-tools-latest 9.0-1
android-sdk-platform-tools 33.0.3-1
android-tools 33.0.3-3
android-udev 20230104-1
aom 3.6.0-1
apache 2.4.55-1
appmenu-gtk-module 0.7.6-1
appstream 0.16.0-1
appstream-qt 0.16.0-1
apr 1.7.0-3
apr-util 1.6.1-11
archlinux-keyring 20230130-1
argon2 20190702-4
ark 22.12.2-1
assimp 5.2.5-2
at-spi2-core 2.46.0-2
attica 5.102.0-1
attr 2.5.1-2
audacious 4.2-3
audacious-plugins 4.2-3
audit 3.0.9-2
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
baloo 5.102.0-1
baloo-widgets 22.12.2-1
base 3-1
bash 5.1.016-3
bat 0.22.1-1
binutils 2.40-4
bison 3.8.2-4
bluedevil 1:5.26.5-1
bluez 5.66-1
bluez-libs 5.66-1
bluez-qt 5.102.0-1
boost-libs 1.81.0-2
botan 2.19.3-1
box2d 2.4.1-1
brave-bin 1:1.48.158-1
breeze 5.26.5-1
breeze-icons 5.102.0-1
brotli 1.0.9-9
btop 1.2.13-1
btrfs-progs 6.1.3-1
bzip2 1.0.8-5
c-ares 1.19.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.87-1
ca-certificates-utils 20220905-1
cairo 1.17.8-2
cantarell-fonts 1:0.303.1-1
cdparanoia 10.2-8
chezmoi 2.30.0-1
chromaprint 1.5.1-6
chromium-extension-web-store 1.5.3-1
cifs-utils 7.0-2
clang 15.0.7-1
clucene 2.3.3.4-14
cmake 3.25.2-1
compiler-rt 15.0.7-1
composer 2.5.2-1
confuse 3.3-3
convertlit 1.8-11
coreutils 9.1-3
cryptsetup 2.6.0-1
curl 7.87.0-3
dav1d 1.0.0-1
db5.3 5.3.28-2
dbus 1.14.4-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-2
debugedit 5.0-4
default-cursors 2-1
desktop-file-utils 0.26-2
device-mapper 2.03.18-4
diffutils 3.8-1
dino 0.3.1-1
dmraid 1.0.0.rc16.3-14
dnssec-anchors 20190629-3
dolphin 22.12.2-1
dosfstools 4.2-3
double-conversion 3.2.1-1
duf 0.8.1-2
duktape 2.7.0-5
e2fsprogs 1.46.6-1
ebook-tools 0.2.2-7
editorconfig-core-c 0.12.6-1
efibootmgr 18-1
efivar 38-2
egl-wayland 2:1.1.11-3
eglexternalplatform 1.1-2
enchant 2.3.3-2
exa 0.10.1-6
exiv2 0.27.6-1
expat 2.5.0-1
faac 1.30-3
faad2 2.10.1-1
fakeroot 1.31-1
ffmpeg 2:5.1.2-1
ffmpegthumbnailer 2.2.2-4
ffmpegthumbs 22.12.2-1
fftw 3.3.10-3
file 5.44-1
filesystem 2023.01.31-1
findutils 4.9.0-2
flac 1.4.2-1
flex 2.6.4-4
fluidsynth 2.3.1-1
flutter 3.7.1-1
fontconfig 2:2.14.2-1
frameworkintegration 5.102.0-1
freeglut 3.4.0-1
freetube-bin 0.18.0-1
freetype2 2.12.1-1
fribidi 1.0.12-1
fuse-common 3.13.0-1
fuse2 2.9.9-4
fuse3 3.13.0-1
fzf 0.37.0-1
gawk 5.2.1-1
gc 8.2.2-1
gcc 12.2.1-2
gcc-libs 12.2.1-2
gdbm 1.23-1
gdk-pixbuf2 2.42.10-2
gettext 0.21.1-2
giflib 5.2.1-2
girara 0.3.7-1
git 2.39.1-1
glib-networking 1:2.74.0-1
glib2 2.74.5-1
glibc 2.37-2
glibmm-2.68 2.74.0-1
glslang 11.13.0-2
glu 9.0.2-3
gmp 6.2.1-2
gnupg 2.2.40-1
gnustep-base 1.28.0-5
gnutls 3.7.8-5
gobject-introspection-runtime 1.74.0-1
gpgme 1.18.0-2
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphite 1:1.3.14-2
grep 3.8-2
groff 1.22.4-7
grub 2:2.06.r456.g65bc45963-1
gsettings-desktop-schemas 43.0-1
gsm 1.0.22-1
gspell 1.12.0-2
gssdp 1.6.2-1
gst-libav 1.22.0-3
gst-plugin-gtk 1.22.0-3
gst-plugin-pipewire 1:0.3.65-6
gst-plugins-bad 1.22.0-3
gst-plugins-bad-libs 1.22.0-3
gst-plugins-base 1.22.0-3
gst-plugins-base-libs 1.22.0-3
gst-plugins-good 1.22.0-3
gst-plugins-ugly 1.22.0-3
gstreamer 1.22.0-3
gstreamer-vaapi 1.22.0-3
gtk-update-icon-cache 1:4.8.3-3
gtk3 1:3.24.36-1
guile 3.0.9-1
gupnp 1:1.6.3-1
gupnp-igd 1.2.0-3
gzip 1.12-1
harfbuzz 6.0.0-1
harfbuzz-icu 6.0.0-1
hicolor-icon-theme 0.17-2
hidapi 0.13.1-1
highlight 4.4-2
htop 3.2.2-1
http-parser 2.9.4-1
hunspell 1.7.2-1
hwdata 0.366-1
hwloc 2.8.0-1
hyphen 2.8.8-5
iana-etc 20221215-1
ibus 1.5.27-1
ibus-bamboo 0.8.2_RC3-1
icu 72.1-2
imagemagick 7.1.0.61-1
imath 3.1.6-2
imlib2 1.10.0-3
iniparser 4.1-4
inxi 3.3.25.1-1
iproute2 6.1.0-4
iptables 1:1.8.9-1
iputils 20221126-1
iso-codes 4.12.0-1
iw 5.19-1
jansson 2.14-2
jasper 4.0.0-1
java-environment-common 3-5
java-runtime-common 3-5
jdk8-openjdk 8.362.u09-1
jemalloc 1:5.3.0-1
jre8-openjdk 8.362.u09-1
jre8-openjdk-headless 8.362.u09-1
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
kaccounts-integration 22.12.2-1
kactivities 5.102.0-1
kactivities-stats 5.102.0-1
kactivitymanagerd 5.26.5-1
karchive 5.102.0-1
kate 22.12.2-1
kauth 5.102.0-1
kbd 2.5.1-1
kbookmarks 5.102.0-1
kcmutils 5.102.0-1
kcodecs 5.102.0-1
kcolorpicker 0.2.0-1
kcompletion 5.102.0-1
kconfig 5.102.0-1
kconfigwidgets 5.102.0-1
kcoreaddons 5.102.0-1
kcrash 5.102.0-1
kdbusaddons 5.102.0-1
kde-cli-tools 5.26.5-1
kde-dev-utils 22.12.2-1
kde-gtk-config 5.26.5-1
kdeclarative 5.102.0-1
kdecoration 5.26.5-1
kded 5.102.0-1
kdelibs4support 5.102.0-1
kdeplasma-addons 5.26.5-1
kdesu 5.102.0-1
kdialog 22.12.2-1
kdnssd 5.102.0-1
kdsoap 2.1.1-1
kdsoap-ws-discovery-client git20200927-2
keepassxc 2.7.4-1
kemoticons 5.102.0-1
keyutils 1.6.3-1
kfilemetadata 5.102.0-1
kglobalaccel 5.102.0-1
kguiaddons 5.102.0-1
kholidays 1:5.102.0-1
ki18n 5.102.0-1
kiconthemes 5.102.0-1
kidletime 5.102.0-1
kimageannotator 0.6.0-1
kinit 5.102.0-1
kio 5.102.0-1
kio-extras 22.12.2-1
kio-fuse 5.0.1-1
kirigami2 5.102.0-1
kitemmodels 5.102.0-1
kitemviews 5.102.0-1
kitty 0.27.1-1
kitty-shell-integration 0.27.1-1
kitty-terminfo 0.27.1-1
kjobwidgets 5.102.0-1
kmenuedit 5.26.5-1
kmod 30-3
knewstuff 5.102.0-1
knotifications 5.102.0-1
knotifyconfig 5.102.0-1
kompare 22.12.2-1
kpackage 5.102.0-1
kparts 5.102.0-1
kpeople 5.102.0-1
kpipewire 5.26.5-1
kpmcore 22.12.2-1
kpty 5.102.0-1
kquickcharts 5.102.0-1
krb5 1.20.1-1
krunner 5.102.0-1
kscreen 5.26.5-1
kscreenlocker 5.26.5-1
kservice 5.102.0-1
ksnip 1.10.0-1
ksystemstats 5.26.5-1
ktexteditor 5.102.0-1
ktextwidgets 5.102.0-1
kunitconversion 5.102.0-1
kuserfeedback 1.2.0-1
kwallet 5.102.0-1
kwayland 5.102.0-1
kwidgetsaddons 5.102.0-1
kwin 5.26.5-2
kwin-bismuth-bin 3.1.4-1
kwindowsystem 5.102.0-1
kxmlgui 5.102.0-1
l-smash 2.14.5-2
lame 3.100-4
layer-shell-qt 5.26.5-1
lcms2 2.14-2
ldb 2:2.6.1-2
ldns 1.8.3-2
lenopow 1.0.4-1
less 1:608-2
lib32-gcc-libs 12.2.1-2
lib32-glibc 2.37-2
lib32-libogg 1.3.5-1
libabw 0.1.3-3
libaccounts-glib 1.26-1
libaccounts-qt 1.16-3
libaio 0.3.113-1
libappindicator-gtk3 12.10.0.r298-1
libarchive 3.6.2-2
libass 0.17.0-1
libassuan 2.5.5-1
libasyncns 1:0.8+r3+g68cd5af-2
libatasmart 0.19-5
libatomic_ops 7.6.14-1
libavc1394 0.5.4-4
libavif 0.11.1-1
libavtp 0.2.0-1
libb2 0.98.1-2
libb64 1.2.1-4
libblockdev 2.28-1
libbluray 1.3.4-1
libbpf 1.0.1-1
libbs2b 3.1.0-8
libbsd 0.11.7-1
libbytesize 2.7-1
libcaca 0.99.beta20-1
libcamera 0.0.4-1
libcanberra 1:0.30+r2+gc0620e4-3
libcap 2.66-1
libcap-ng 0.8.3-1
libcddb 1.3.2-7
libcdio 2.1.0-3
libcdio-paranoia 10.2+2.0.1-2
libcdr 0.1.7-5
libcloudproviders 0.3.1+r8+g3a229ee-1
libcolord 1.4.6-1
libcue 2.2.1-2
libcups 1:2.4.2-5
libdaemon 0.14-5
libdatrie 0.2.13-2
libdbusmenu-glib 16.04.0-5
libdbusmenu-gtk3 16.04.0-5
libdbusmenu-qt5 0.9.3+16.04.20160218-6
libdc1394 2.2.6-2
libdca 0.0.7-1
libde265 1.0.11-1
libdispatch 5.5.0-1
libdmtx 0.7.7-1
libdrm 2.4.114-1
libdv 1.0.0-9
libdvdnav 6.1.1-1
libdvdread 6.1.3-1
libe-book 0.1.3-13
libedit 20210910_3.1-2
libelf 0.188-3
libepoxy 1.5.10-1
libepubgen 0.1.1-4
libetonyek 0.1.10-3
libevdev 1.13.0-1
libevent 2.1.12-4
libexif 0.6.24-1
libexttextcat 3.4.6-1
